Question,A,B,C,D
"Sau khi khách hàng xác thực OTP thành công, hệ thống sẽ thực hiện bước nào tiếp theo?",Tự động hủy yêu cầu,Cập nhật kỳ thanh toán mới cho toàn bộ mã EVTP thuộc CusID,Gửi thông báo lỗi “Xác thực thất bại”,Chuyển về trạng thái “Không hoạt động”
"Hãy xác định (i) năm xuất hiện khái niệm mã hóa khóa bất đối xứng, và (ii) tên của hai nhà khoa học đề xuất nó.", Năm 1976; Ronald Rivest và Adi Shamir,Năm 1977; Leonard Adleman và Martin Hellman,"
Năm 2000; Ronald Rivest và Leonard Adleman",Năm 1976; Whitfield Diffie và Martin Hellman 
"Theo Thông tư, “cặp khóa bất đối xứng” trong phần mềm ký số bao gồm những thành phần nào?",Hai khóa công khai,Khóa công khai và khóa bí mật,Hai khóa bí mật,Khóa bí mật và chứng thư số
"Trung tâm dữ liệu đã có tường lửa, IDS/IPS và sao lưu định kỳ. Sự cố gần đây cho thấy một máy chủ bị cài mã độc qua tài khoản quản trị mặc định của thiết bị IoT trong mạng nội bộ. Nếu chỉ được chọn một biện pháp bổ sung ngay lập tức, biện pháp nào giảm nguy cơ lặp lại sự cố tương tự một cách trực tiếp và hiệu quả nhất?",Triển khai sao lưu bất biến và diễn tập khôi phục hàng quý; cài EDR trên máy chủ để phát hiện hành vi bất thường,"Chuẩn hoá chính sách quản lý truy nhập nội bộ: bắt buộc thay đổi/luân chuyển mật khẩu mặc định và áp dụng ít đặc quyền cho tài khoản quản trị; cô lập IoT vào VLAN/NAC, chỉ cho phép quản trị từ mạng quản trị riêng, bật ghi log và giám sát tương ứng.","Củng cố lớp biên Internet: bắt buộc TLS 1.3, bật HSTS/CSP, đóng các cổng không dùng ở tường lửa, triển khai WAF cho ứng dụng web đối ngoại.","Tăng cường an ninh vật lý: kiểm soát ra vào đa nhân tố, camera giám sát, niêm phong cổng USB, kiểm kê tài sản định kỳ"
Mô tả chi tiết ưu điểm của Kafka về tính mã nguồn mở và khả năng xử lý dữ liệu lớn.,"1. Mã nguồn mở (Open-source): Apache Kafka là một dự án mã nguồn đóng, có nghĩa là mọi người đều không thể truy cập mã nguồn, sửa đổi và phát triển theo nhu cầu
2. Xử lý dữ liệu lớn (High-throughput): Kafka có khả năng xử lý một lượng lớn thông tin một cách liên tục mà gần như không cần thời gian chờ, giúp các ứng dụng có thể xử lý dữ liệu với tốc độ cao và đáp ứng được yêu cầu về hiệu suất.","1. Mã nguồn mở (Open-source): Apache Kafka là một dự án mã nguồn mở, có nghĩa là mọi người đều có thể truy cập mã nguồn, sửa đổi và phát triển theo nhu cầu của họ mà không cần phải lo lắng về các hạn chế cấp phép.
2. Xử lý dữ liệu lớn (High-throughput): Kafka có khả năng xử lý một lượng ít thông tin một cách ngắt quãng ","1. Mã nguồn mở (Open-source): Apache Kafka là một dự án mã nguồn mở, có nghĩa là mọi người đều không thể truy cập mã nguồn, sửa đổi và phát triển theo nhu cầu của họ
2. Xử lý dữ liệu lớn (High-throughput): Kafka có khả năng xử lý một lượng lớn thông tin một cách liên tục nhưng cần thời gian chờ","1. Mã nguồn mở (Open-source): Apache Kafka là một dự án mã nguồn mở, có nghĩa là mọi người đều có thể truy cập mã nguồn, sửa đổi và phát triển theo nhu cầu của họ mà không cần phải lo lắng về các hạn chế cấp phép.
2. Xử lý dữ liệu lớn (High-throughput): Kafka có khả năng xử lý một lượng lớn thông tin một cách liên tục mà gần như không cần thời gian chờ, giúp các ứng dụng có thể xử lý dữ liệu với tốc độ cao và đáp ứng được yêu cầu về hiệu suất."
"Hãy xác định (i) tên 2 nhà mật mã học đã phát triển Rijndael – cơ sở của AES, và (ii) năm AES được NIST công nhận là chuẩn mã hóa dữ liệu.",Ronald Rivest & Adi Shamir; năm 1977,"
 Joan Daemen & Vincent Rijmen; năm 2001 ", Whitfield Diffie & Martin Hellman; năm 1976, Leonard Adleman & Whitfield Diffie; năm 2000
SQL Server được sử dụng chủ yếu để quản lý và truy vấn dữ liệu quan hệ trong các hệ thống doanh nghiệp như thế nào?, Phân tích dữ liệu và tạo báo cáo,- Tạo và duy trì cơ sở dữ liệu,Để truy vấn dữ liệu ,"- Tạo và duy trì cơ sở dữ liệu
' Phân tích dữ liệu và tạo báo cáo"
"Từ tài liệu Public_193, những kiến thức và kỹ năng nào là cần thiết cho một kỹ sư DevOps khi tập trung vào một giai đoạn cụ thể trong roadmap DevOps?","Giai đoạn đầu tiên: Learn a some CI/CD tool
Từ đó Devops cần học code một số ngôn ngữ hệ thống như bashscript, java, javascipt , python, Php…","Giai đoạn đầu tiên: Learn a Programming Language
Từ đó Devops cần học code một số ngôn ngữ hệ thống như bashscript, java, javascipt , python, Php…","Giai đoạn đầu tiên: tham gia code các function của sản phẩm phần mềm
Từ đó Devops cần học code một số ngôn ngữ hệ thống như bashscript, java, javascipt , python, Php…","Giai đoạn sau cùng: làm việc như 1 Cloud Provider
Từ đó Devops cần học code một số ngôn ngữ hệ thống như bashscript, java, javascipt , python, Php…"
Các loại hệ thống thông tin (HTTT) được văn bản phân loại trong doanh nghiệp có thể nhóm lại thành những loại nào?,"HTTT quản lý, hệ hỗ trợ quyết định, HTTT điều hành, hệ chuyên gia, HTTT tích hợp, hệ chức năng, HTTT chiến lược, hệ quản trị tri thức","HTTT quản lý, hệ điều hành, hệ chuyên gia, hệ mạng, hệ chức năng doanh nghiệp","Hệ thống phần mềm, hệ thống phần cứng, hệ thống dữ liệu, hệ thống quản lý nhân sự","HTTT cấp cao, HTTT trung gian, HTTT cơ sở, HTTT chiến lược"
"Hãy xác định hai kỹ thuật phát hiện xâm nhập chính của IDS, và  nhược điểm tương ứng của mỗi kỹ thuật.
",Phát hiện dựa trên chữ ký; nhược điểm: không phát hiện được tấn công mới ,Phát hiện dựa trên bất thường; nhược điểm: tỷ lệ cảnh báo sai cao ,"
Phát hiện dựa trên entropy; nhược điểm: yêu cầu chữ ký cập nhật liên tục",Phát hiện dựa trên hành vi; nhược điểm: không phân biệt được gói tin hợp pháp và bất hợp pháp
"Theo quan điểm hệ thống trong dự án HTTT, yếu tố nào được xem là quan trọng nhất để quyết định hiệu quả toàn bộ hệ thống?",Phần cứng hiện đại,Phần mềm chuyên dụng,Dữ liệu đầu vào đầy đủ,Con người tham gia
Tóm tắt các nội dung chính của văn bản Public_182 về tấn công DoS/DDoS.,"Văn bản giải thích khái niệm DoS/DDoS, cơ chế hoạt động, các loại (SYN Flood, HTTP Flood, Smurf, Ping Flood), hậu quả (ngừng dịch vụ, mất uy tín, thiệt hại kinh tế) và sự khác biệt giữa DoS và DDoS","Văn bản giải thích khái niệm DoS mà không đề cập DDoS hay các loại hình tấn công.
", Văn bản liệt kê các loại tấn công mà không phân tích hậu quả hay sự khác biệt.,"Văn bản giải thích khái niệm DoS/DDoS, cơ chế hoạt động, các loại (SYN Flood, HTTP Flood, Smurf, Ping Flood), hậu quả (ngừng dịch vụ, mất uy tín, thiệt hại kinh tế)"
Phần mềm ký số cần hỗ trợ định dạng dữ liệu nào theo Phụ lục I của tài liệu Public_257?,XML/JSON,PDF/A,DOC/DOCX,CSV
Tóm tắt những ảnh hưởng của đại dịch COVID-19 đến việc áp dụng công nghệ trong giáo dục là gì?,Không ảnh hưởng gì đến giáo dục,Tăng cường nhận thức về tầm quan trọng của công nghệ trong giáo dục ,Làm giảm chất lượng giáo dục,Chỉ ảnh hưởng đến các trường học lớn
"Theo tài liệu Public_167, chuẩn ISO/IEC 27001:2005 tập trung vào nội dung nào?",Định nghĩa các thuật ngữ và từ vựng,Quản lý rủi ro cho ISMS,Hệ thống quản lý an toàn thông tin (ISMS),Bản quyền phần mềm
"Theo báo cáo của WHO và UNICEF, đến năm 2030, tình trạng khan hiếm nước sẽ khiến bao nhiêu triệu người phải di dời?",500 triệu,700 triệu,900 triệu,1 tỷ
"Theo tài liệu, phát hiện dựa trên bất thường cần giai đoạn huấn luyện để xây dựng hồ sơ hành vi bình thường. Nếu giai đoạn huấn luyện thu thập dữ liệu chưa đủ dài hoặc không đại diện, hậu quả nào có thể xảy ra?", IDS/IPS vẫn phát hiện chính xác mọi tấn công,Tăng tỷ lệ cảnh báo sai hoặc bỏ sót tấn công do hồ sơ không phản ánh đúng hành vi bình thường,Hệ thống tự động điều chỉnh hồ sơ khi phát hiện sai sót,"
IDS/IPS không thể hoạt động nếu chưa có dữ liệu huấn luyện"
"Theo tài liệu, quá trình kiểm tra chữ ký số gồm bước so sánh hai chuỗi đại diện MD1 và MD2. Nếu một kẻ tấn công thay đổi nội dung thông điệp trong quá trình truyền nhưng không có khóa riêng của người gửi, điều gì sẽ xảy ra?


",MD1 và MD2 vẫn trùng nhau vì chỉ cần khóa công khai,"MD1 và MD2 khác nhau, chữ ký số bị báo sai, phát hiện có sửa đổi ",MD1 và MD2 khác nhau nhưng hệ thống vẫn chấp nhận thông điệp,MD1 và MD2 luôn bằng nhau do đặc điểm của giải thuật băm
Các phiên bản của Oracle Database,"Oracle Database Standard Edition, Oracle Database Enterprise Edition, Oracle Database Express Edition (XE), Oracle Database Personal Edition","Oracle Database Standard Edition, "," Oracle Database Standard Edition, Oracle Database Express Edition (XE), Oracle Database Personal Edition","Oracle Database Standard Edition, Oracle Database Enterprise Edition, Oracle Database Express Edition (XE), Oracle Database Personal Edition, Oracle Premium "
Những yếu tố nào theo văn bản trực tiếp góp phần rút ngắn thời gian phát triển khi dùng Flutter (chọn mọi đáp án phù hợp)?,Viết một mã nguồn duy nhất (single code-base) để triển khai trên nhiều nền tảng,Tính năng Hot Reload cho phép thấy kết quả tức thì khi chỉnh sửa mã,"Kích thước tệp ứng dụng nhỏ, giúp giảm thời gian khởi động","Các widget tích hợp sẵn, phong phú và dễ dùng"
"Theo tài liệu, thành phần nào trong chứng chỉ số đóng vai trò ký để đảm bảo tính xác thực và toàn vẹn?",Khóa công khai của người dùng, Khóa riêng của người dùng,Chữ ký số của CA (Certificate Authority) ,Thông tin nhận dạng trong trường Subject
Tóm tắt các nội dung chính của văn bản về Apache Kafka.,"Văn bản giới thiệu Apache Kafka, hệ thống xử lý dữ liệu luồng thời gian thực, các thành phần (Producer, Consumer, Broker, Topic), ưu điểm (mở rộng, lưu trữ, tốc độ) và ứng dụng.","Văn bản nói đến Producer và Consumer, không có thông tin về Broker, Topic hay ưu điểm.", Văn bản nhắc đến tốc độ xử lý mà không đề cập khả năng mở rộng hoặc lưu trữ.,Văn bản chỉ mô tả một số ứng dụng mà không nói rõ cấu trúc và thành phần hệ thống.
Tóm tắt các bước cài đặt SQL Server 2022,Gọi chuyên gia,"Bước 1: Search google hướng dẫn
Bước 2: Tải link về rồi cứ click Next","Bước 1: Truy cập vào đường link: https://www.microsoft.com/en-us/sql-server/sql-server-downloads  
Bước 2: Chọn Basic -> Accept -> Chọn Browser lưu trữ -> Install. 
Bước 3: Sau khi tải về thành công, ấn Install SSMS. 
Bước 4: Sau khi cửa sổ Download SSMS hiện ra, ấn vào link Download SSMS.
Bước 5: Tìm đến Express edition of SQL Server 2022 và chọn Download now, chọn Open file.
Bước 6: Sau khi Download thành công, ấn Install. 
Bước 7: Sau khi cài đặt, mở Microsoft SQL Server Management Studio 19, chọn Connect.","Bước 1: Truy cập vào đường link: https://www.microsoft.com/en-us/sql-server/sql-server-downloads  
Bước 2: Tìm đến Express edition of SQL Server 2022 và chọn Download now, chọn Open file. 
Bước 3: Chọn Basic -> Accept -> Chọn Browser lưu trữ -> Install. 
Bước 4: Sau khi tải về thành công, ấn Install SSMS. 
Bước 5: Sau khi cửa sổ Download SSMS hiện ra, ấn vào link Download SSMS.
Bước 6: Sau khi Download thành công, ấn Install. 
Bước 7: Sau khi cài đặt, mở Microsoft SQL Server Management Studio 19, chọn Connect."
